id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
6bZPQHvekmIFBZZB7nMB5X,Nothing Really Matters,49,269093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.707,0.692,0,-6.937,1,0.0409,0.0534,0.00796,0.0649,0.248,116.868,4,1998,0,-1
7izFzcBTx3DVXFeFYDeZKB,Take a Bow,56,320467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.549,0.408,8,-7.698,1,0.024,0.341,0.0,0.0764,0.319,80.133,4,2009,2,-1
6KU8g98m1tcrUXRNjPQeOI,Deeper and Deeper,46,333467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1992-10-20,0.659,0.818,7,-7.09,0,0.0265,0.00601,0.299,0.336,0.39,119.943,4,1992,0,8
3s6UF8KC2k4nFwRConFYfJ,Physical Attraction,37,394733,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.881,0.562,0,-13.091,0,0.0759,0.188,0.0461,0.172,0.947,120.199,4,1983,1,-1
4FMNpPI7mkhdeFCCk6fZiE,Borderline,58,238360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.807,0.764,2,-5.186,1,0.0312,0.082,3.87e-05,0.115,0.371,119.867,4,2009,3,-1
4eMLyB1mc7onYLdoG8YSXG,Erotica,41,318573,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1992-10-20,0.639,0.676,11,-11.168,0,0.061,0.000576,0.434,0.26,0.231,101.956,4,1992,0,5
0beXeFEWUYYY13fYVHTtFk,Drowned World / Substitute for Love,48,308973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.539,0.308,4,-12.101,1,0.0413,0.727,0.207,0.107,0.131,139.901,4,1998,2,0
3ZfMci7n6qk9nRodX8BfIb,Girl Gone Wild,57,223067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2012-01-01,0.697,0.598,8,-5.883,0,0.0708,0.0331,5.98e-06,0.318,0.606,131.967,4,2012,0,6
0NjXS4VFF7OVLRhSAXMUJV,Burning Up,35,225333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.869,0.738,6,-4.566,0,0.11,0.0276,0.00102,0.262,0.988,138.329,4,1983,3,3
4QGVOJqm5WOt7XhGlFLqnj,Physical Attraction,34,399600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.907,0.641,0,-7.694,0,0.0746,0.0436,0.0138,0.184,0.932,119.2,4,1983,3,-1
19gLqMCui3hxPDTKTEoELa,Stay,36,246400,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.715,0.706,7,-12.249,1,0.0453,0.464,0.0,0.357,0.85,118.419,4,1984,1,-1
3Jmc8fYHFMwpIiT7pg7ggt,White Heat,39,281440,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.67,0.696,5,-15.278,1,0.0586,0.479,0.0259,0.107,0.903,108.517,4,1986,1,-1
687mfVfetXFntD7DJpBT3N,Jimmy Jimmy,37,236907,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.674,0.671,0,-11.075,1,0.0342,0.144,0.00272,0.102,0.963,151.079,4,1986,1,7
5TqUghz3FRLeWKkwOVaumY,Love Makes the World Go Round,37,271440,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.775,0.759,0,-9.502,1,0.0339,0.236,0.0,0.197,0.97,121.9,4,1986,1,7
0xbjaqanyL1Us6g8kVKE3h,Till Death Do Us Part,37,318467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.615,0.783,11,-11.862,0,0.0289,0.112,0.0011,0.0428,0.977,143.783,4,1989,1,-1
0TtjIsd6WB3hzFu0ra8g8p,Hanky Panky,41,239160,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.637,0.626,2,-10.728,1,0.329,0.419,0.0,0.0543,0.485,169.969,4,1990,0,1
7DUpuAzGUyJaJB3p9BC3Ms,Die Another Day,55,276360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2003-04-22,0.792,0.797,0,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,4,2003,3,-1
1Lg9aMPCykp6LybqcVCXiO,Hung Up - Radio Version,54,202720,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2005-11-04,0.622,0.71,10,-6.825,1,0.0448,0.00268,0.0498,0.0721,0.62,125.0,4,2005,0,-1
0YT8MKXuaRdhOnDG9Jm1Dv,Frozen,55,378840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.591,0.736,1,-7.722,1,0.0336,0.511,0.00304,0.179,0.29,108.011,4,2009,0,-1
5HktkLHDbjA6LTyRTBEzHy,Celebration,55,215133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.637,0.891,11,-4.139,0,0.0345,0.0742,0.000622,0.0686,0.933,126.002,4,2009,3,2
6WjrgHvISFS0Oj3vk3XLiE,Cherish,41,232627,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.678,0.783,2,-8.288,1,0.0478,0.328,0.000133,0.047,0.802,132.017,4,1990,1,-1
